"s","nationality","birthYear"
"http://fr.dbpedia.org/resource/Erwin_Scharf","http://fr.dbpedia.org/resource/Autriche",1901
"http://fr.dbpedia.org/resource/Eugen_Habermann","http://fr.dbpedia.org/resource/Estonie",1884
"http://fr.dbpedia.org/resource/Eugène-Toussaint_Cateland","http://fr.dbpedia.org/resource/France",1840
"http://fr.dbpedia.org/resource/Eugène_Godeboeuf","http://fr.dbpedia.org/resource/France",1809
"http://fr.dbpedia.org/resource/Eugène_Lambert_(architecte)","http://fr.dbpedia.org/resource/France",1819
"http://fr.dbpedia.org/resource/Eugène_Leseney","http://fr.dbpedia.org/resource/France",1931
"http://fr.dbpedia.org/resource/Eugène_Millet","http://fr.dbpedia.org/resource/France",1819
"http://fr.dbpedia.org/resource/Eugène_Rouyer","http://fr.dbpedia.org/resource/France",1827
"http://fr.dbpedia.org/resource/Eugène_Viollet-le-Duc","http://fr.dbpedia.org/resource/France",1814
"http://fr.dbpedia.org/resource/Evert_van_Linge","http://fr.dbpedia.org/resource/Pays-Bas",1895
"http://fr.dbpedia.org/resource/Fabio_De_Sanctis","http://fr.dbpedia.org/resource/Italie",1931
"http://fr.dbpedia.org/resource/Fabio_Rampelli","http://fr.dbpedia.org/resource/Italie",1960
"http://fr.dbpedia.org/resource/Fatoumata_Barry","http://fr.dbpedia.org/resource/Guinée",1954
"http://fr.dbpedia.org/resource/Fayez_el-Sarraj","http://fr.dbpedia.org/resource/Libye",1960
"http://fr.dbpedia.org/resource/Ferdinand_Joseph_Hippolyte_Barqui","http://fr.dbpedia.org/resource/France",1825
"http://fr.dbpedia.org/resource/Ferdinand_Meldahl","http://fr.dbpedia.org/resource/Danemark",1827
"http://fr.dbpedia.org/resource/Ferdinand_Öhman","http://fr.dbpedia.org/resource/Finlande",1831
"http://fr.dbpedia.org/resource/Ferenc_Hatlaczky","http://fr.dbpedia.org/resource/Hongrie",1934
"http://fr.dbpedia.org/resource/Feridun_Buğeker","http://fr.dbpedia.org/resource/Turquie",1933
"http://fr.dbpedia.org/resource/Fernand_Bodson","http://fr.dbpedia.org/resource/Belgique",1877
"http://fr.dbpedia.org/resource/Fernand_Petit","http://fr.dbpedia.org/resource/Belgique",1885
"http://fr.dbpedia.org/resource/Fernando_Belaúnde_Terry","http://fr.dbpedia.org/resource/Pérou",1912
"http://fr.dbpedia.org/resource/Fernando_Colomo","http://fr.dbpedia.org/resource/Espagne",1946
"http://fr.dbpedia.org/resource/Filippo_Bubbico","http://fr.dbpedia.org/resource/Italie",1954
"http://fr.dbpedia.org/resource/Fleur_Agema","http://fr.dbpedia.org/resource/Pays-Bas",1976
"http://fr.dbpedia.org/resource/Florentin_Granholm","http://fr.dbpedia.org/resource/Finlande",1836
